id,title,author,ai_badge_on_source,license,source_url,local_file
01,Sports Football Soccer Music,prettyjohn1,no,Pixabay Content License,https://pixabay.com/music/percussion-sports-football-soccer-music-499975/,assets/replaceable/music/library/01-sports-football-soccer-prettyjohn1.mp3
02,Football - Football Music,SigmaMusicArt,no,Pixabay Content License,https://pixabay.com/music/percussion-football-football-music-551346/,assets/replaceable/music/library/02-football-percussion-sigmamusicart.mp3
03,Soccer,SoundSurfer,no,Pixabay Content License,https://pixabay.com/music/beats-soccer-516383/,assets/replaceable/music/library/03-soccer-beats-soundsurfer.mp3
04,Sports Football Soccer Music,lNPLUSMUSIC,no,Pixabay Content License,https://pixabay.com/music/upbeat-sports-football-soccer-music-416518/,assets/replaceable/music/library/04-football-upbeat-lnplusmusic.mp3
05,Football - Football Soccer Game Music 43 Second,BombinSound,no,Pixabay Content License,https://pixabay.com/music/percussion-football-football-soccer-game-music-43-second-490557/,assets/replaceable/music/library/05-football-game-43s-bombinsound.mp3
06,Football - Football Soccer Game Music 36 Second,BombinSound,no,Pixabay Content License,https://pixabay.com/music/percussion-football-football-soccer-game-music-36-second-490556/,assets/replaceable/music/library/06-football-game-36s-bombinsound.mp3
